country,age_group,travel_with,total_female,total_male,purpose,main_activity,info_source,tour_arrangement,package_transport_international,package_accomodation,package_food,package_transport_local,package_sightseeing,package_guided_tour,package_insurance,nights_stayed,payment_mode,first_trip,most_impressing,total_cost
SWIZERLAND,45-64,Friends/Relatives,1,1,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,13,Cash,No,Friendly People,674602.5
UNITED KINGDOM,25-44,Alone,1,0,Leisure and Holidays,Cultural tourism,others,Independent,No,No,No,No,No,No,No,14,Cash,Yes,"Wonderful Country, Landscape, Nature",3214906.5
UNITED KINGDOM,25-44,Alone,0,1,Visiting Friends and Relatives,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,1,Cash,No,Excellent Experience,3315000
UNITED KINGDOM,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,11,Cash,Yes,Friendly People,7790250
CHINA,Jan-24,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,7,Cash,Yes,No comments,1657500
UNITED KINGDOM,25-44,Alone,0,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,No,No,No,Yes,Yes,No,9,Cash,Yes, Wildlife,120950
SOUTH AFRICA,45-64,Alone,0,1,Business,Mountain climbing,"Friends, relatives",Independent,No,No,No,No,No,No,No,9,Cash,Yes,Friendly People,466140
UNITED STATES OF AMERICA,45-64,Friends/Relatives,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,Cash,Yes,Friendly People,3480750
NIGERIA,25-44,Alone,0,1,Leisure and Holidays,Cultural tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,4,Cash,Yes,Friendly People,994500
INDIA,25-44,Alone,1,0,Business,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,5,Credit Card,Yes,Friendly People,2486250
BRAZIL,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,17,Cash,Yes,"Wonderful Country, Landscape, Nature",1117155
CANADA,45-64,Children,2,0,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,30,Cash,No,Excellent Experience,8121750
CANADA,45-64,Children,0,2,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,No,No,No,11,Cash,Yes,No comments,331500
MALT,25-44,Friends/Relatives,2,0,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,Yes,No,No,No,10,Cash,Yes,No comments,11346650
MOZAMBIQUE,25-44,Alone,0,1,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,Cash,Yes, Wildlife,497250
RWANDA,65+,Alone,1,0,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,0,Cash,Yes,"Wonderful Country, Landscape, Nature",331500
AUSTRIA,45-64,Friends/Relatives,4,1,Visiting Friends and Relatives,Mountain climbing,"Friends, relatives",Independent,No,No,No,No,No,No,No,24,Cash,No,Friendly People,2000000
MYANMAR,25-44,Alone,1,0,Meetings and Conference,Wildlife tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,5,Cash,Yes,Friendly People,331500
